iddesa;kdprov;nmprov;kdkab;nmkab;kdkec;nmkec;kddesa;nmdesa;klas;stat_pem
7107010001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;001;SANGTOMBOLANG;2;DESA
7107010002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;002;SAMPIRO;2;DESA
7107010003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;003;SANGKUB I;1;DESA
7107010004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;004;SANGKUB II;1;DESA
7107010005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;005;SANGKUB III;1;DESA
7107010006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;006;TOMBOLANGO;2;DESA
7107010007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;007;BUSISINGO;2;DESA
7107010008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;008;PANGKUSA;2;DESA
7107010009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;009;SIDODADI;2;DESA
7107010010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;010;BUSISINGO UTARA;2;DESA
7107010011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;011;SANGKUB IV;1;DESA
7107010012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;012;APENG SEMBEKA;2;DESA
7107010013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;013;SANGKUB TIMUR;2;DESA
7107010014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;014;MONOMPIA;2;DESA
7107010015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;015;SUKA MAKMUR;2;DESA
7107010016;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;010;SANGKUB;016;MOKUSATO;2;DESA
7107020001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;001;MOME;2;DESA
7107020002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;002;HUNTUK;2;DESA
7107020003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;003;PIMPI;2;DESA
7107020004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;004;BUNIA;2;DESA
7107020005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;005;KOPI;2;DESA
7107020006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;006;BINTAUNA PANTAI;2;DESA
7107020007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;007;MINANGA;1;DESA
7107020008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;008;BATULINTIK;2;DESA
7107020009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;009;BINTAUNA;1;KELURAHAN
7107020010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;010;TALAGA;1;DESA
7107020011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;011;VOA A;1;DESA
7107020012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;012;PADANG;1;DESA
7107020013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;013;KUHANGA;2;DESA
7107020014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;014;BUNONG;2;DESA
7107020015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;015;PADANG BARAT;1;DESA
7107020016;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;020;BINTAUNA;016;VAHUTA;1;DESA
7107030001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;001;MOKODITEK I;2;DESA
7107030002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;002;MOKODITEK;2;DESA
7107030003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;003;NUNUKA;2;DESA
7107030004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;004;SALEO;2;DESA
7107030005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;005;BINUANGA;2;DESA
7107030006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;006;BOHABAK IV;2;DESA
7107030007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;007;BOHABAK II;2;DESA
7107030008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;008;BOHABAK I;1;DESA
7107030009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;009;BOHABAK III;2;DESA
7107030010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;010;BINJEITA;2;DESA
7107030011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;011;BINJEITA I;2;DESA
7107030012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;012;BINJEITA II;2;DESA
7107030013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;013;BIONTONG;2;DESA
7107030014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;014;BIONTONG II;2;DESA
7107030015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;015;BIONTONG I;2;DESA
7107030016;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;016;SALEO I;2;DESA
7107030017;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;017;NAGARA;2;DESA
7107030018;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;018;TANJUNG LABUO;2;DESA
7107030019;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;019;BINUNI;2;DESA
7107030020;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;020;LIPU BOGU;2;DESA
7107040001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;001;PAKU;2;DESA
7107040002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;002;OLLOT II;2;DESA
7107040003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;003;OLLOT;2;DESA
7107040004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;004;OLLOT I;1;DESA
7107040005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;005;SONUO;2;DESA
7107040006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;006;WAKAT;2;DESA
7107040007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;007;TOTE;2;DESA
7107040008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;008;IYOK;2;DESA
7107040009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;009;LANGI;2;DESA
7107040010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;010;JAMBU SARANG;1;DESA
7107040011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;011;TALAGA TUMOAGU;1;DESA
7107040012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;012;BOLANGITANG;1;DESA
7107040013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;013;BOLANGITANG I;1;DESA
7107040014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;014;BOLANGITANG II;1;DESA
7107040015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;015;TALAGA;1;DESA
7107040016;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;016;PAKU SELATAN;2;DESA
7107040017;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;017;KEIMANGA;2;DESA
7107040018;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;018;TANJUNG BUAYA;2;DESA
7107050001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;001;KOMUS DUA;2;DESA
7107050002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;002;SOLO;2;DESA
7107050003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;003;INOMUNGA;2;DESA
7107050004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;004;BOROKO;1;DESA
7107050005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;005;BOROKO TIMUR;1;DESA
7107050006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;006;BIGO;1;DESA
7107050007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;007;KUALA;1;DESA
7107050008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;008;PONTAK;2;DESA
7107050009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;009;KUALA UTARA;1;DESA
7107050010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;010;KOMUS DUA TIMUR;2;DESA
7107050011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;011;INOMUNGA UTARA;2;DESA
7107050012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;012;BIGO SELATAN;1;DESA
7107050013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;013;SOLIGIR;1;DESA
7107050014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;014;BOROKO UTARA;1;DESA
7107050015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;015;GIHANG;2;DESA
7107060001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;001;BUSATO;2;DESA
7107060002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;002;KAYUOGU;2;DESA
7107060003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;003;BATU BANTAYO;2;DESA
7107060004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;004;TONTULOW;2;DESA
7107060005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;005;TOMBULANG;2;DESA
7107060006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;006;BUKO;1;DESA
7107060007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;007;BUKO SELATAN;2;DESA
7107060008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;008;DALAPULI;2;DESA
7107060009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;009;BATUTAJAM;2;DESA
7107060010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;010;DENGI;2;DESA
7107060011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;011;TUNTUNG;2;DESA
7107060012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;012;KOMUS I;2;DESA
7107060013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;013;TANJUNG SIDUPA;2;DESA
7107060014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;014;TONTULOW UTARA;2;DESA
7107060015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;015;BUKO UTARA;1;DESA
7107060016;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;016;DALAPULI BARAT;2;DESA
7107060017;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;017;DALAPULI TIMUR;2;DESA
7107060018;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;018;TOMBULANG TIMUR;1;DESA
7107060019;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;019;TOMBULANG PANTAI;1;DESA
7107060020;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;020;DUINI;2;DESA
7107060021;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;021;TUNTUNG TIMUR;2;DESA
7107060022;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;022;PADANGO;2;DESA
